"A2_vali_lat","A2_vali_lon","A2_vali_floor"
4864979.92110889,-7599.68849054304,2
4864986.26565452,-7600.55205537064,2
4864987.17842939,-7619.73791063052,2
4864989.61288998,-7618.88071147097,2
4864989.68445158,-7619.44386571748,2
4864986.9565264,-7604.77399330407,2
4864986.91025079,-7604.52482756959,2
4864991.00322005,-7621.85934392126,2
4864989.94753949,-7624.13901185213,2
4864986.33618597,-7601.63322904831,2
4864984.60480134,-7600.46513729559,2
4864990.52642496,-7614.13951539755,2
4864984.83288952,-7600.25066059053,2
4864991.50955902,-7630.15655457125,2
4864950.15334133,-7635.57213124148,4
4864992.45859641,-7624.14523910764,2
4864991.90726871,-7617.20975746711,2
4864992.07876153,-7617.53813058781,2
4864992.38472953,-7617.66551420669,2
4864988.33037002,-7623.53477516244,2
4864989.64734091,-7617.26503390715,2
4864989.91965531,-7618.26135998792,2
4864989.62714601,-7617.95944138899,2
4864950.4750592,-7635.6516487821,4
4864991.61695698,-7629.88992268183,2
4864991.5796107,-7630.34355781706,2
4864991.40209414,-7629.20975484932,2
4864992.52731977,-7630.96706041951,2
4864990.03302932,-7621.03221599251,2
4864990.0140361,-7621.77634941166,2
4864990.04476336,-7621.95904691003,2
4864990.97490286,-7622.42616248293,2
4864990.97490286,-7621.88537541558,2
4864994.22660404,-7632.35214216129,2
4864991.65578853,-7630.80185171541,2
4864990.47106468,-7629.92825138914,2
4864991.52132243,-7630.84595546738,2
4864990.93374556,-7630.3687270406,2
4864991.14295967,-7630.20869744935,2
4864991.73030485,-7630.4396031609,2
4864991.85347577,-7631.79389389347,2
4864991.737255,-7631.30509848912,2
4864991.11860641,-7632.23553823179,2
4864989.69819773,-7628.93411151098,2
4864990.06595515,-7630.06599579351,2
4864991.06697142,-7632.27125315923,2
4864991.08045639,-7631.77959998562,2
4864990.95952224,-7632.31988497053,2
4864989.85895929,-7629.02035987876,2
4864989.81187756,-7628.83019715292,2
4864989.81931544,-7628.95382559249,2
4864989.83683521,-7629.17966470774,2
4864990.86474245,-7633.10296794632,2
4864991.10083017,-7632.91236816311,2
4864993.3850217,-7634.563899989,2
4864993.88684866,-7634.74255965467,2
4864994.8232819,-7634.40629652709,2
4864996.02159501,-7634.66331232273,2
4864995.62794258,-7633.78255904352,2
4864996.24545639,-7634.00330530231,2
4864996.18193685,-7633.14220853755,2
4864991.48582166,-7633.12579574695,2
4864994.88111857,-7632.84949113283,2
4864993.40302033,-7632.81369038157,2
