"A1_vali_lat","A1_vali_long","A1_vali_floor"
4864989.81809801,-7608.55050650539,2
4864989.79617439,-7608.50121840723,2
4864990.59851766,-7609.90747059941,2
4864990.78395704,-7614.47544421624,2
4864990.84115708,-7614.47544421624,2
4864988.88892088,-7613.13017876463,2
4864988.15291692,-7614.01822842122,2
4864988.07074221,-7616.45318516313,2
4864990.09119295,-7615.33546400664,2
4864990.09195895,-7609.16615603616,2
4864987.41950662,-7608.45404646554,2
4864987.16150278,-7614.13256807262,2
4864987.50712792,-7608.46384968724,2
4864993.46333483,-7623.02944859568,2
4864939.79881532,-7609.80918885627,4
4864991.77147567,-7621.37712129948,2
4864985.9458612,-7614.67352692175,2
4864986.22656705,-7616.19932915604,2
4864986.21637141,-7616.12832366164,2
4864990.41931216,-7611.22898964647,2
4864988.42494674,-7614.75764687943,2
4864988.57892342,-7614.87144077936,2
4864988.9137484,-7614.14056798845,2
4864943.75654747,-7625.38638073096,4
4864993.2525252,-7621.42131341801,2
4864993.41818821,-7621.58920952017,2
4864992.39735566,-7619.30071930281,2
4864993.37227092,-7623.04240758944,2
4864985.32577581,-7618.18873946646,2
4864985.5666154,-7618.92347975071,2
4864986.32885044,-7619.96337458007,2
4864986.9968645,-7620.47304370597,2
4864987.0943395,-7620.45320220597,2
4864993.9676047,-7625.87096225866,2
4864993.48939032,-7623.60135902517,2
4864992.72293941,-7621.86831837183,2
4864991.85189376,-7621.0611804064,2
4864991.48542609,-7620.46249571455,2
4864991.55592097,-7619.39878515909,2
4864991.64715055,-7619.85626799335,2
4864991.9760502,-7621.31507094661,2
4864991.63353229,-7620.01158852249,2
4864992.56376704,-7622.13975447747,2
4864992.73117761,-7619.47231867976,2
4864992.84196374,-7618.9529353967,2
4864994.72896842,-7622.67645555531,2
4864994.62141429,-7622.29926241326,2
4864994.53341198,-7622.87422920466,2
4864993.68520146,-7623.09820975573,2
4864993.96030404,-7622.29176998406,2
4864994.16580227,-7621.99086363965,2
4864994.07233018,-7623.26242104201,2
4864993.73476555,-7629.3684930453,2
4864994.07503307,-7626.15667938396,2
4864996.12034103,-7629.52931009138,2
4864996.02938182,-7631.46723117637,2
4864999.27784744,-7629.00279733135,2
4864999.78991542,-7629.54908556221,2
4864999.36617546,-7627.82877830314,2
4865000.57555214,-7631.25100962216,2
4865000.39780035,-7629.47394805724,2
4864994.62429176,-7628.83224565457,2
4865000.15217245,-7628.38937012777,2
4864997.07658465,-7628.62884443997,2
4864997.04185647,-7629.14143568081,2
4864997.06847578,-7628.29662997742,2
4864997.0326501,-7630.25075445154,2
4864997.40458255,-7629.35377465344,2
4864996.30865675,-7630.26596698944,2
4864996.2683802,-7628.79839447512,2
4864995.5836262,-7628.62069133989,2
4864995.50491175,-7629.02213780627,2
4864995.45056123,-7629.58480173819,2
4864994.14578532,-7627.37968135341,2
4864993.90156519,-7628.94810754731,2
4864993.21292489,-7628.46944420366,2
4864995.53858844,-7628.19918809602,2
4864994.97620011,-7628.26404659835,2
4864997.23099034,-7630.43466586837,2
4864997.27900994,-7630.72766147053,2
4864997.37711067,-7630.53054192578,2
4864996.21505146,-7629.95469352026,2
4864992.72017777,-7634.21899305452,2
4864992.68953807,-7633.74662015831,2
4864993.87193077,-7633.86822398808,2
4864990.94220748,-7632.72433728434,2
4864990.83084503,-7633.23828097262,2
4864990.82754328,-7633.15478600109,2
4864990.58404119,-7633.05253873311,2
4864990.21591404,-7632.77346364829,2
4864994.04589884,-7630.99648834788,2
4864990.52857004,-7632.16237675611,2
4864990.6605519,-7632.8970432787,2
4864989.81344304,-7632.0290982996,2
4864979.68348797,-7631.28913087079,2
4864980.0662881,-7632.47824913344,2
4864979.3486211,-7632.51268863966,2
4864980.05947481,-7632.734778973,2
4864980.07438799,-7633.09501779195,2
4864979.87649874,-7631.90709559474,2
4864979.78928941,-7633.00616741779,2
4864979.98850616,-7633.01020161776,2
4864979.69421839,-7632.82782266024,2
4864978.65977062,-7630.88759796262,2
4864978.40488558,-7630.37901252428,2
4864978.89724393,-7631.306724219,2
4864979.51664884,-7629.91278647056,2
4864979.60564414,-7630.53600457936,2
4864979.89767581,-7631.12838637105,2
4864979.63484374,-7630.52298566893,2
4864979.887386,-7630.73601136272,2
4864980.12576198,-7630.89176731893,2
4864990.55891505,-7631.77453554413,2
4864991.35292596,-7635.86688132648,2
4864989.36093007,-7633.18587260566,2
4864993.17175784,-7632.27531960274,2
4864993.30755088,-7632.72835707292,2
4864993.58267032,-7631.47215718125,2
4864995.44824161,-7633.58341633988,2
4864995.32451675,-7632.63855919583,2
4864992.69470793,-7632.19535408894,2
4864991.69627862,-7632.22057430785,2
4864991.38718602,-7631.90799748061,2
4864991.037558,-7633.0450687038,2
4864991.02576552,-7632.99776004518,2
4864990.34793273,-7633.2785138693,2
4864990.85318734,-7633.18067811766,2
4864990.65010871,-7632.93142307924,2
4864990.52027037,-7632.69902040235,2
4864990.4348104,-7633.32885531567,2
4864990.34075368,-7634.08608499878,2
4864990.75931459,-7634.2747644089,2
4864990.03755626,-7633.12338259024,2
4864990.2590324,-7633.05721757942,2
4864990.09267824,-7633.31559150036,2
4864989.732666,-7633.12359359022,2
4864989.95430353,-7633.12338259024,2
4864990.48472998,-7633.0770877003,2
